Type,Residuals
Train,615.2265289661464
Train,-599.4195976199835
Train,737.8703751457506
Train,935.2645324463083
Train,17.264920883279046
Train,-431.8601799825774
Train,509.19298686516413
Train,500.0349066670897
Train,-121.40058463973583
Train,-415.520964007148
Train,931.5112632823766
Train,-552.768857201434
Train,264.15270514860913
Train,-255.69578145965716
Train,390.07122599364357
Train,-415.0082896546537
Train,-306.3948695967247
Train,418.8722327805481
Train,521.480336354678
Train,-41.58888737482903
Train,181.98893794765354
Train,-481.4858719975473
Train,-12.161316429643193
Train,542.4164668014887
Train,12.639736873151378
Train,-251.80700691687525
Train,687.5691323018182
Train,-307.3000795515072
Train,99.3970488638879
Train,-398.67709281385396
Train,-551.0088244602157
Train,-130.86352577781508
Train,-273.28993191472
Train,137.76280776486237
Train,-320.24696117950225
Train,157.6947290606222
Train,249.9209739640828
Train,-420.1381781080563
Train,-297.91205225294107
Train,-1023.3536686858788
Train,152.83558711938622
Train,-921.6484194471232
Train,-178.45328925035483
Train,475.1537531338254
Train,-87.86192847546772
Train,204.68601960641172
Train,-377.10199445271974
Train,605.6811713052666
Train,142.0843015565406
Train,-840.2424576511912
Train,-743.8788768614868
Train,503.16203247711746
Train,-630.7053473345732
Train,-601.0544288548226
Train,483.4588560494103
Train,283.0126059218328
Train,-160.73517113376147
Train,233.6908072517699
Train,-113.95942974990248
Train,569.3559822622738
Train,164.18214449184734
Train,-94.63068447602564
Train,365.06152292890147
Train,-392.70565579434697
Train,850.3197323749482
Train,307.5124866586766
Train,89.32929686269745
Train,621.6966696017316
Train,271.00271044150213
Train,240.6190771941474
Train,-552.9740557559271
Train,684.9609145824325
Train,-568.5145172285975
Train,-115.3959848030172
Train,-256.2455216670478
Train,8.98003552607588
Train,146.16106737656446
Train,334.99441319732796
Train,-269.7839906358313
Train,544.7540796360263
Train,-327.2320947913886
Train,-2.8250132365483296
Train,-210.57896789973893
Train,330.73146502558484
Train,-601.5152735847432
Train,-165.66725380118078
Train,386.94566037880395
Train,275.8306087129313
Train,-48.69518765966859
Train,-429.4854003541859
Train,185.99771823666015
Train,414.48994312443756
Train,-579.6528470675566
Train,-371.26381153672264
Train,-59.04253331421933
Train,-304.8484885745602
Train,-40.13731397085576
Train,499.8421689336028
Train,-156.05344634816902
Train,800.3242419772905
Train,-375.8438491461711
Train,-940.4693020685227
Train,415.64368368451323
Train,-62.220918057268136
Train,-262.35093234058513
Train,-522.6364072200231
Train,-474.85399707401666
Train,-582.1639741371364
Train,-562.6123879250663
Train,20.38764802327205
Train,468.2815865187222
Train,-586.4504229768927
Train,223.88394671178776
Train,-110.73506009838093
Train,-228.63614190999215
Train,-227.58133047282536
Train,-261.11462184201264
Train,133.30092679026347
Train,265.84141601534793
Train,-462.2976203921462
Train,-280.58044460842666
Train,372.2687933535926
Train,-141.39983572606434
Train,18.400454598642682
Train,579.3670849867303
Train,-662.0612301820984
Train,-524.3529014529267
Train,-15.092375134685426
Train,-313.0907655582014
Train,56.0111527118288
Train,391.20834070520505
Train,143.8876175089208
Train,-393.2340630935978
Train,-170.41107191916035
Train,185.80177622113752
Train,360.29617081802644
Train,-243.46583030634065
Train,-395.82374966586576
Train,50.28882451561731
Train,115.59941983053977
Train,392.239169133818
Train,0.7483842202618689
Train,-94.21311801228876
Train,270.4267292848199
Train,71.28522751054334
Train,-89.5389151264535
Train,-230.82329355140337
Train,263.3153488044627
Train,211.2050066041129
Train,-455.15384641504534
Train,196.5582170306643
Train,246.20387755740285
Train,-225.98937977504283
Train,-144.05516556302246
Train,260.7190982943757
Train,255.12715272130208
Train,212.73082780478762
Train,27.353706181967937
Train,-181.42341494513312
Train,-60.06857233244136
Train,-236.33812644717364
Train,173.28479617784433
Train,519.8354085899555
Train,305.27350542046406
Train,-384.349635452294
Train,489.2349445336622
Train,-361.62794398166443
Train,244.71045069103639
Train,127.0635203955917
Train,-201.74227039131802
Train,-429.5062761683366
Train,-291.2006745829949
Train,-96.89199717879274
Train,-71.92055577674091
